STATIONSAFKORTING,STATIONS_NAAM,GEMEENTE,REGIO_RSV_NAAM,REGIO_SSVO_NAAM,IND_BACKUP_VENS,IND_STANDPLAATS_VENS,GELDIGVANAF,GELDIGTM,IND_HUIDIG
Utm,Utrecht Maliebaan,Utrecht,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Sdtb,Sliedrecht Baanhoek,Sliedrecht,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Atn,Aalten,Aalten,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Wk,Workum,Súdwest-Fryslân,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dr,Dieren,Rheden,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Mp,Meppel,Meppel,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Swk,Steenwijk,Steenwijkerland,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hrl,Heerlen,Heerlen,RSV Zuid,Zuid- en Midden-Limburg,0,1,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hglg,Hengelo Gezondheidspark,Hengelo,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Almb,Almere Buiten,Almere,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Vb,Voorburg,Leidschendam-Voorburg,RSV Randstad Zuid,Den Haag,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Asa,Amsterdam Amstel,Amsterdam,RSV Randstad Noord,Amsterdam,0,0,2022-10-31 00:00:00.000000,8888-12-31 23:59:59.999999,1
Uhz,Uithuizen,Het Hogeland,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Kpn,Kampen,Kampen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dn,Deurne,Deurne,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rat,Raalte,Raalte,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ddrs,Dordrecht Stadspolders,Dordrecht,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bgn,Bergen op Zoom,Bergen op Zoom,RSV Zuid,West-Brabant en Zeeland,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Gnn,Groningen Noord,Groningen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Vsv,Varsseveld,Oude IJsselstreek,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hvl,Hoevelaken,Nijkerk,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hd,Harderwijk,Harderwijk,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Tg,Tegelen,Venlo,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Laa,Den Haag Laan van NOI,'s-Gravenhage,RSV Randstad Zuid,Den Haag,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rsd,Roosendaal,Roosendaal,RSV Zuid,West-Brabant en Zeeland,0,1,2022-06-01 00:00:00.000000,8888-12-31 23:59:59.999999,1
Amf,Amersfoort Centraal,Amersfoort,RSV Noord-Oost,Amersfoort,1,1,2022-10-31 00:00:00.000000,8888-12-31 23:59:59.999999,1
Zl,Zwolle,Zwolle,RSV Noord-Oost,PE Noord,1,1,2023-02-08 00:00:00.000000,8888-12-31 23:59:59.999999,1
Vlb,Vierlingsbeek,Boxmeer,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ck,Cuijk,Cuijk,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Amfs,Amersfoort Schothorst,Amersfoort,RSV Noord-Oost,Amersfoort,0,0,2024-07-15 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dvnk,De Vink,Leiden,RSV Randstad Zuid,Den Haag,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Mes,Meerssen,Meerssen,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Vg,Vught,Vught,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Zlw,Lage Zwaluwe,Moerdijk,RSV Zuid,West-Brabant en Zeeland,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ehst,Eindhoven Stadion,Eindhoven,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Amr,Alkmaar,Alkmaar,RSV Randstad Noord,Alkmaar,1,1,2022-06-20 00:00:00.000000,8888-12-31 23:59:59.999999,1
Arn,Arnemuiden,Middelburg,RSV Zuid,West-Brabant en Zeeland,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ssh,Sassenheim,Teylingen,RSV Randstad Zuid,Den Haag,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hlm,Haarlem,Haarlem,RSV Randstad Noord,Amsterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Wt,Weert,Weert,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bl,Beilen,Midden-Drenthe,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ztmo,Zoetermeer Oost,Zoetermeer,RSV Randstad Zuid,Den Haag,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Fn,Franeker,Waadhoeke,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Shl,Schiphol Airport,Haarlemmermeer,RSV Randstad Noord,Amsterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Zvb,Zevenbergen,Moerdijk,RSV Zuid,West-Brabant en Zeeland,0,0,2026-06-14 00:00:00.000000,8888-12-31 23:59:59.999999,1
Mtn,Maastricht Noord,Maastricht,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Vs,Vlissingen,Vlissingen,RSV Zuid,West-Brabant en Zeeland,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Apn,Alphen aan den Rijn,Alphen aan den Rijn,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Odz,Oldenzaal,Oldenzaal,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dln,Dalen,Coevorden,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hlg,Harlingen,Harlingen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Sdt,Sliedrecht,Sliedrecht,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Kbk,Klarenbeek,Voorst,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Go,Goor,Hof van Twente,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Wad,Waddinxveen,Waddinxveen,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Utzl,Utrecht Zuilen,Utrecht,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bdpb,Breda Prinsenbeek,Breda,RSV Zuid,West-Brabant en Zeeland,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Pt,Putten,Putten,RSV Noord-Oost,Amersfoort,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Htnc,Houten Castellum,Houten,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ac,Abcoude,De Ronde Venen,RSV Randstad Noord,Amsterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rhn,Rhenen,Rhenen,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Nmd,Nijmegen Dukenburg,Nijmegen,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Akl,Arkel,Molenlanden,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Swd,Sauwerd,Het Hogeland,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hmn,Hemmen-Dodewaard,Neder-Betuwe,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dvc,Deventer Colmschate,Deventer,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Utt,Utrecht Terwijde,Utrecht,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Pmw,Purmerend Weidevenne,Purmerend,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Egh,Eygelshoven,Kerkrade,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ust,Usquert,Het Hogeland,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bet,Best,Best,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
